Day,ID,Feature,Scope,Preconditions,Steps,Expected,Priority,Owner,Est(min),Status,Notes
1,AUTH-01,Auth 로그인,전체,"유효/무효 계정","로그인 시도(성공/실패)","성공→역할 홈, 실패→정확 오류",P1,,40,Pending,
1,AUTH-05,미들웨어 가드,전체,"비로그인/다역할 계정","보호 라우트 접근","302/403/404 기대값 일치",P1,,45,Pending,"오픈리다이렉트 확인"
1,M-SITE-01,현장 목록/검색,부분,"활성3/비활성1","키워드/상태 필터","결과/정렬/페이징 일치",P2,,35,Pending,
1,M-WORKLOG-01,일지 작성,스모크,"worker, 활성 현장","필수값 입력→저장","성공 생성/필수값 검증",P1,,40,Pending,
1,M-DOCS-01,문서 업/미/다운,스모크,"허용 파일 세트","업로드→미리보기→다운로드","MIME/확장자 검증",P2,,40,Pending,
2,AUTH-02,비번 재설정,전체,"재설정 대상 계정","메일 링크→재설정","토큰 유효성/만료 처리",P1,,40,Pending,"메일 수신 확인"
2,AUTH-03,세션 만료,전체,"만료 세션 준비","만료 후 접근","강제 재인증/복귀 경로 유지",P1,,45,Pending,
2,AUTH-04,역할 변경 반영,전체,"동일 사용자 역할 전환","화면 전환/메뉴 확인","즉시 반영, 캐시 불일치 없음",P1,,45,Pending,
2,AUTH-05,라우팅 가드 심화,전체,"다역할/비로그인","교차 접근/우회 시도","우회 불가, 로그 적정",P1,,45,Pending,
2,M-DOCS-02,Storage ACL,전체,"타 계정 파일","서명 URL/직접 접근","403/만료 처리, 우회 불가",P1,,45,Pending,"RLS/버킷 권한 점검"
3,M-WORKLOG-02,일지 수정/삭제,전체,"본인 일지 1건","수정→저장/삭제","본인만 가능, 타인은 403",P1,,35,Pending,
3,M-WORKLOG-03,첨부 오프라인 재시도,전체,"사진3, 네트워크 토글","오프라인 업→온라인 재시도","실패 큐 처리, 링크 유효",P2,,50,Pending,
3,M-WORKLOG-04,목록/상세 동기화,전체,"일지 3건 이상","생성/수정 후 확인","최신 반영, 캐시 무효화",P2,,35,Pending,
3,M-DOCS-01,업/미/다운 심화,전체,"다양한 파일","업→미→다운 반복","포맷/프리뷰 안정성",P2,,40,Pending,
3,M-DOCS-03,폴더/태그/검색,전체,"태그/폴더 분산","필터링/검색","정확 결과, 빈 결과 처리",P3,,35,Pending,
3,M-SITE-02,비활성 접근 차단,전체,"비활성 현장","상세 진입 시도","접근 차단/안내 메시지",P1,,30,Pending,
3,M-SITE-03,지도/좌표 링크,전체,"좌표 보유 현장","지도 열기","외부 지도 정상 이동",P3,,25,Pending,
4,M-MAT-01,자재 입/출고,전체,"재고0/대량, 단위혼합","입고/출고 입력","음수 방지/단위 변환 정확",P1,,45,Pending,
4,M-MAT-02,임포트 CSV/XLSX,전체,"정상/오류 혼합 파일","임포트 실행","성공/실패 분리 리포트",P2,,50,Pending,
4,M-MAT-03,집계/히스토리,전체,"다양한 거래 기록","대시보드↔히스토리 비교","합계/스냅샷 일치",P2,,40,Pending,
4,M-PAY-01,급여 집계,전체,"근무/수당/공제 데이터","기간 선택→집계","수식/반올림 정확",P1,,45,Pending,
4,M-PAY-02,엑셀/PDF 출력,전체,"대상 2건 이상","내보내기","레이아웃/포맷 정확",P2,,35,Pending,
4,ADMIN-USER-01,사용자 초대/역할,전체,"admin, 신규 메일","초대→역할→비활성/재활성","감사 로그/권한 반영",P1,,45,Pending,
4,ADMIN-USER-02,권한 매트릭스,전체,"역할별 계정","메뉴/API 교차검증","정책·UI·API 일관",P1,,45,Pending,
4,ADMIN-SITE-01,현장 생성/종료,전체,"관리자 권한","생성→수정→종료","종료 규칙 적용",P1,,40,Pending,
4,ADMIN-RPT-01,보고서 정확성,전체,"기간/현장/파트너 데이터","필터→합계/평균/추세","수치/단위 정확",P1,,40,Pending,
4,ADMIN-RPT-02,내보내기 성능,전체,"5,000+ 행","내보내기","≤5s, 파일 무결성",P1,,35,Pending,
5,NFR-01,성능 LCP/TTI,전체,"프리뷰 URL","측정/기록","LCP ≤2.5s 목표",P1,,45,Pending,
5,NFR-02,보안 가드,전체,"엔드포인트 목록","XSS/CSRF/오픈리다이렉트","우회 불가/헤더 적정",P1,,60,Pending,
5,NFR-03,접근성 체크,전체,"핵심 플로우 3개","키보드/명도/레이블","중요한 저해요소 없음",P2,,40,Pending,
5,AUTH-01,회귀: 로그인,회귀,"Day1 데이터","성공/실패 재확인","동일 결과 유지",P1,,20,Pending,
5,AUTH-05,회귀: 가드,회귀,"Day1 계정셋","보호 라우트 재검증","동일 결과 유지",P1,,20,Pending,
5,M-WORKLOG-01,회귀: 일지 작성,회귀,"Day1 현장/계정","필수값→저장","동일 결과 유지",P1,,20,Pending,
