Date,DayName,Type,Roles/Targets,FeatureList,LinkedScenarios,Owner,ExitCriteria
2024-10-20,월,사전준비/내부단위,개발자/관리자,"디자인 3·4차 적용; 테스트 데이터 입력; 라우팅/가드 스모크","AUTH-01; AUTH-05; ADMIN-USER-01(스모크)",개발자,"스모크 통과, 초기 데이터 세트 준비"
2024-10-21,화,사전준비/내부연동,개발자/관리자,"RLS/ACL 기본확인; 보고서 내보내기 샘플; 오류 로그 정리","M-DOCS-02; ADMIN-RPT-01(스모크); ADMIN-RPT-02(스모크)",개발자,"연동 스모크 통과, 리스크/우회 계획"
2024-10-22,수,단위+연동,관리자+공통,"로그인/가입/비번찾기; 초대/역할부여; 관리자 메뉴 접근","AUTH-01; AUTH-02; AUTH-03; AUTH-04; AUTH-05; ADMIN-USER-01; ADMIN-USER-02","김이사+개발자","권한 관련 P1 0, 관리자 접근 일관성"
2024-10-23,목,단위+연동,작업자/현장관리자+관리자,"일지 작성/수정/첨부; 현장 목록/차단; 문서 업/미/다운","M-WORKLOG-01; M-WORKLOG-02; M-WORKLOG-03; M-WORKLOG-04; M-SITE-01; M-SITE-02; M-SITE-03; M-DOCS-01; M-DOCS-03","김이사+개발자","P1 0, 관리자-모바일 데이터 동기 정확"
2024-10-24,금,단위(심화)+연동,작업자/현장관리자+관리자,"첨부 오프라인 재시도; 폴더/태그/검색; 목록/상세 동기화","M-WORKLOG-03; M-WORKLOG-04; M-DOCS-03; M-SITE-01(필터 심화)","김이사+개발자","UX P1 0, 재시도 큐 유실 없음"
2024-10-25,토,디자인개선검증,공통,"다크모드 대비/색상; 큰글씨 레이아웃; 핵심 플로우 시인성","NFR-03(부분); 주요 화면 스모크","김이사+개발자","시각적 P1 0, 접근성 저해 없음"
2024-10-27,월,단위+연동,생산관리자+관리자,"급여 집계/출력; 보고서 교차 확인; 권한 차단","M-PAY-01; M-PAY-02; ADMIN-RPT-01; AUTH-05","김이사+개발자","수치/반올림/포맷 정확, 권한 우회 0"
2024-10-28,화,단위+연동,거래처(파트너)+관리자,"파트너 뷰 권한; 문서 ACL; 현장 정보 제한","M-DOCS-02; M-DOCS-03; M-SITE-02; ADMIN-USER-02","김이사+개발자","ACL/정책 일관, 우회 0"
2024-10-29,수,단위+종합,관리자+전역,"사용자/현장/자재/보고서 전수; 내보내기 SLA","ADMIN-USER-01; ADMIN-USER-02; ADMIN-SITE-01; ADMIN-RPT-01; ADMIN-RPT-02; M-MAT-01; M-MAT-02; M-MAT-03","김이사+개발자","P1/P2 0, 내보내기 ≤5s"
2024-10-30,목,종합+디자인검증,전역,"핵심 회귀(AUTH/WORKLOG/REPORT); 다크모드/큰글씨 재점검","AUTH-01; AUTH-05; M-WORKLOG-01; ADMIN-RPT-01; ADMIN-RPT-02; NFR-03","김이사+개발자","회귀 결함 0, 개선 잔여 P2 계획"
2024-10-31,금,종합(마감),전역,"성능 스냅샷(LCP/TTI); 보안 가드; 릴리스 체크리스트","NFR-01; NFR-02; NFR-03; 핵심 회귀 세트","김이사+개발자","블로커 0, 릴리스 노트·결함 리포트 확정"
