Date,DayName,Type,Roles/Targets,ScenarioID,Title,Preconditions,Steps,Expected,Priority,Owner,Est(min),Status,Notes
2024-10-23,목,단위+연동,관리자+공통,AUTH-01,로그인 성공/실패,"유효/무효 계정 1세트","성공/실패 케이스 입력→제출","성공: 역할 홈 이동, 실패: 정확 오류·속도제한",P1,,25,Pending,
2024-10-23,목,단위+연동,관리자+공통,AUTH-02,비밀번호 재설정,"재설정 대상 계정, 메일 수신 가능","재설정 요청→메일 링크→새 비밀번호","토큰 유효·만료 처리, 재로그인 가능",P1,,30,Pending,
2024-10-23,목,단위+연동,관리자+공통,AUTH-04,역할 변경 즉시 반영,"동일 사용자 역할 전환 가능","역할 전환→메뉴/권한 확인","리로드 없이 UI/권한 즉시 반영",P1,,25,Pending,
2024-10-23,목,단위+연동,관리자+공통,ADMIN-USER-01,초대/역할/비활성,"admin 계정, 신규 이메일","초대→가입→역할 부여→비활성/재활성","감사 로그 기록, 접근 권한 일치",P1,,35,Pending,
2024-10-23,목,단위+연동,관리자+공통,AUTH-05,미들웨어 라우팅 가드,"비로그인/다역할 계정","보호 라우트 접근/직접 URL 이동","302/403/404 기대값, 오픈리다이렉트 없음",P1,,25,Pending,
2024-10-24,금,단위+연동,작업자·현장관리자+관리자,M-WORKLOG-01,일지 작성(필수값),"worker, 활성 현장","날짜/현장/유형 입력→저장","성공 생성, 누락 시 필드 에러",P1,,25,Pending,
2024-10-24,금,단위+연동,작업자·현장관리자+관리자,M-WORKLOG-02,일지 수정/삭제 권한,"본인 작성 일지 1건","수정 저장, 삭제 시도","본인만 가능, 타 사용자 403",P1,,20,Pending,
2024-10-24,금,단위+연동,작업자·현장관리자+관리자,M-WORKLOG-03,첨부 업로드(온라인),"허용 파일 2~3개","첨부 업로드→미리보기","MIME/확장자 검증, 프리뷰 정상",P2,,20,Pending,
2024-10-24,금,단위+연동,작업자·현장관리자+관리자,M-SITE-01,현장 목록/검색/필터,"활성3/비활성1","키워드/상태 필터","결과/정렬/페이징 일치",P2,,20,Pending,
2024-10-24,금,단위+연동,작업자·현장관리자+관리자,M-SITE-02,비활성 현장 접근 차단,"비활성 현장 식별자","상세 접근 시도","접근 차단 및 안내",P1,,15,Pending,
2024-10-24,금,단위+연동,작업자·현장관리자+관리자,M-DOCS-01,문서 업로드/미리보기/다운로드,"허용 확장자·용량 파일","업→미→다운 순차 실행","업로드/프리뷰/다운로드 정상",P2,,25,Pending,
2024-10-25,토,단위(심화)+연동,작업자·현장관리자+관리자,M-WORKLOG-03,첨부 오프라인 재시도,"네트워크 토글, 사진 3개","오프라인 업로드→온라인 전환","실패 큐 보존, 자동 재시도 성공",P2,,30,Pending,
2024-10-25,토,단위(심화)+연동,작업자·현장관리자+관리자,M-DOCS-03,폴더/태그/검색,"태그/폴더 분산 파일 ≥5","태그·키워드·폴더 필터링","정확 결과, 빈 결과 처리 정상",P3,,20,Pending,
